date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:01:21	106176/106176	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/seperation%20anxiety.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/seperation%20anxiety.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:01:21	207527/207527	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/scavanger%20hunt.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/scavanger%20hunt.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:01:39	141133/141133	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/stack%20attack.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/stack%20attack.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:01:39	111810/111810	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/the%20nutstacker.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/the%20nutstacker.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:01:40	2560/2560	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2010:13:44%20GMT	http://www.udghosh.org/Hospitality/img/portal.png	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Hospitality/img/portal.1d3.delayed	(from http://www.udghosh.org/Hospitality/css/style.css)
08:01:41	2560/2560	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2010:13:44%20GMT	http://www.udghosh.org/Hospitality/img/CA1.png	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Hospitality/img/CA1.1d4.delayed	(from http://www.udghosh.org/Hospitality/css/style.css)
08:01:42	2560/2560	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2010:13:44%20GMT	http://www.udghosh.org/Hospitality/img/lookback1.png	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Hospitality/img/lookback1.1d5.delayed	(from http://www.udghosh.org/Hospitality/css/style.css)
08:01:43	373/373	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2009%20Oct%202017%2023:09:16%20GMT	http://www.udghosh.org/Hospitality/img/cd-arrow.svg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Hospitality/img/cd-arrow.svg	(from http://www.udghosh.org/Hospitality/css/style1.css)
08:01:44	2377/2377	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202017%2013:23:51%20GMT	http://www.udghosh.org/Login/img/favicon-32x32.png	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Login/img/favicon-32x32.png	(from http://www.udghosh.org/Login/)
08:01:45	16210/16210	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Aug%202017%2013:21:34%20GMT	http://www.udghosh.org/Login/style.css	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Login/style.css	(from http://www.udghosh.org/Login/)
08:01:45	2560/2560	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202017%2010:13:44%20GMT	http://www.udghosh.org/Login/js/main.js	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Login/js/main.1d9.delayed	(from http://www.udghosh.org/Login/)
08:02:06	119927/119927	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202017%2013:24:00%20GMT	http://www.udghosh.org/Login/img/logo.png	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Login/img/logo.png	(from http://www.udghosh.org/Login/)
08:02:14	433538/433538	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/shooting.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/shooting.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:02:44	936422/936422	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Thu,%2005%20Oct%202017%2015:17:28%20GMT	http://www.udghosh.org/Informals/img/Sponsors/zebronics.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/img/Sponsors/zebronics.jpg	(from http://www.udghosh.org/Informals/AdventureVilla.html)
08:03:20	1466743/1466743	---M--	200	added ('OK')	image/png	date:Wed,%2016%20Aug%202017%2013:21:34%20GMT	http://www.udghosh.org/Login/formback.png	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Login/formback.png	(from http://www.udghosh.org/Login/)
